UTMname,name23,name24,oper23,oper24,lat,long,east,north
270872x3608550,HS 126,HS 126,1,1,32.59076,-83.44125,270872.290869241,3608550.26615494
264695x3609913,HS 127,HS 127,1,1,32.60175,-83.50735,264695.460252503,3609913.47053179
270920x3610521,HS 128,NA,1,0,32.60853,-83.44122,270920.371109026,3610520.81502521
262518x3610877,HS 129,HS 129,1,1,32.60997,-83.53078,262517.760690447,3610877.19378058
264559x3611461,HS 130,HS 130,1,1,32.61567,-83.50919,264559.192562086,3611461.24819355
269670x3610752,HS 131,NA,1,0,32.61035,-83.45459,269670.094055925,3610751.5572504
270235x3611933,HS 132,NA,1,0,32.62112,-83.44886,270235.446634431,3611933.49719316
265198x3614369,HS 133 ,NA,1,0,32.64201,-83.50312,265197.755448383,3614368.86464511
259092x3585434,NA,HS 009,0,1,32.37993,-83.56075,259091.718067605,3585433.55049078
265598x3590529,NA,HS 024,0,1,32.42724,-83.49291,265598.074100812,3590529.09800551
259789x3595296,NA,HS 036,0,1,32.46896,-83.55585,259789.135122316,3595295.68922147
261231x3597373,NA,HS 043,0,1,32.48799,-83.54105,261230.791359198,3597372.82059501
265042x3582171,NA,HS 055,0,1,32.35179,-83.49674,265042.419003499,3582170.52566824
266839x3589196,NA,HS 064,0,1,32.41549,-83.47939,266839.415770324,3589196.4840135
265206x3601143,NA,HS 092,0,1,32.52282,-83.49972,265206.029121331,3601143.49291817
268266x3600474,NA,HS 095,0,1,32.51743,-83.467,268266.32498154,3600474.08640795
269214x3601822,NA,HS 100,0,1,32.52978,-83.45725,269214.013676009,3601822.46475513
273840x3600298,NA,HS 103,0,1,32.51699,-83.40767,273839.702269479,3600297.74189799
274614x3605148,NA,HS 117,0,1,32.56086,-83.4006,274613.675774826,3605147.63639162
265201x3614342,NA,HS 133,0,1,32.64177,-83.50308,265200.881029212,3614342.1605515
263988x3612881,NA,HS 134,0,1,32.62834,-83.51563,263988.033894008,3612880.62713525
272538x3590512,NA,HS 135,0,1,32.42852,-83.41916,272537.603807286,3590511.50392201
271667x3591052,NA,HS 136,0,1,32.43321,-83.42854,271667.249421823,3591051.6152497
269792x3602810,NA,HS 137,0,1,32.5388,-83.45134,269792.257348828,3602809.94023826
272644x3603812,NA,HS 138,0,1,32.54842,-83.42124,272643.962445651,3603812.03511161
273870x3603778,NA,HS 139,0,1,32.54836,-83.40818,273870.461726248,3603777.55138399
272427x3605167,NA,HS 140,0,1,32.56059,-83.42388,272426.742738403,3605167.26241433
272289x3610714,NA,HS 141,0,1,32.61055,-83.42669,272289.301180116,3610713.58303515
270560x3610662,NA,HS 142,0,1,32.60973,-83.44509,270560.186642898,3610662.24219391
270191x3611694,NA,HS 143,0,1,32.61895,-83.44927,270191.419658072,3611693.73983098
262266x3597084,NA,HS 144,0,1,32.48561,-83.52997,262265.946367872,3597084.11543831
267746x3607051,NA,HS 145,0,1,32.5766,-83.47416,267746.119762077,3607051.40183916
