rgID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region
UGA_173101_P016_WC08,383-24,TRUE,FALSE,1,2024,HS 066,268064x3590555,RAPiD-Genomics_F534_UGA_173101_P016_WC08_i5-504_i7-128_S14866_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WC09,71-NGA,FALSE,FALSE,NA,2022,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WC09_i5-504_i7-129_S14867_L003_R1_001.fastq,M,Capture,NGA
UGA_173101_P016_WC10,244-24,TRUE,FALSE,5,2024,HS 038,264323x3595743,RAPiD-Genomics_F534_UGA_173101_P016_WC10_i5-504_i7-130_S14868_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WC11,2-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WC11_i5-504_i7-131_S14869_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P016_WC12,452-23,TRUE,FALSE,7,2023,HS 009,259209x3585507,RAPiD-Genomics_F534_UGA_173101_P016_WC12_i5-504_i7-132_S14870_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WD01,79-NGA,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WD01_i5-504_i7-133_S14871_L003_R1_001.fastq,M,Euthanized,NGA
UGA_173101_P016_WD02,28-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WD02_i5-504_i7-134_S14872_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P016_WD03,58-SGA,FALSE,TRUE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WD03_i5-504_i7-135_S14873_L003_R1_001.fastq,M,Harvest,SGA
UGA_173101_P016_WD04,59-23,TRUE,FALSE,7,2023,HS 042,259530x3597317,RAPiD-Genomics_F534_UGA_173101_P016_WD04_i5-504_i7-136_S14874_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WD05,52-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WD05_i5-504_i7-137_S14875_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P016_WD06,179-23,TRUE,FALSE,7,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P016_WD06_i5-504_i7-138_S14876_L003_R1_001.fastq,,Hair Snare,CGA
