rgID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region
UGA_173101_P017_WC05,17-CGA-H,FALSE,FALSE,NA,2012,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WC05_i5-512_i7-125_S14958_L003_R1_001.fastq,,Hair Snare,CGA-H
UGA_173101_P017_WC06,21-23,TRUE,TRUE,2,2023,HS 068,268186x3591620,RAPiD-Genomics_F534_UGA_173101_P017_WC06_i5-512_i7-126_S14959_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WC07,235-24,TRUE,FALSE,7,2024,HS 049,262785x3598339,RAPiD-Genomics_F534_UGA_173101_P017_WC07_i5-512_i7-127_S14960_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WC08,83-NGA,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WC08_i5-512_i7-128_S14961_L003_R1_001.fastq,F,Euthanized,NGA
UGA_173101_P017_WC09,262-23,TRUE,FALSE,3,2023,HS 024,265557x3590544,RAPiD-Genomics_F534_UGA_173101_P017_WC09_i5-512_i7-129_S14962_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WC10,31-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WC10_i5-512_i7-130_S14963_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P017_WC11,373-23,TRUE,FALSE,7,2023,HS 025,265276x3591787,RAPiD-Genomics_F534_UGA_173101_P017_WC11_i5-512_i7-131_S14964_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WC12,101-24,TRUE,FALSE,3,2024,HS 012,258412x3586648,RAPiD-Genomics_F534_UGA_173101_P017_WC12_i5-512_i7-132_S14965_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WD01,11-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WD01_i5-512_i7-133_S14966_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P017_WD02,84-23,TRUE,FALSE,4,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P017_WD02_i5-512_i7-134_S14967_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WD03,251-23,TRUE,TRUE,2,2023,HS 078,269432x3597119,RAPiD-Genomics_F534_UGA_173101_P017_WD03_i5-512_i7-135_S14968_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WD04,361-23,TRUE,FALSE,5,2023,HS 101,275317x3599324,RAPiD-Genomics_F534_UGA_173101_P017_WD04_i5-512_i7-136_S14969_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WD05,417-23,TRUE,FALSE,4,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P017_WD05_i5-512_i7-137_S14970_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WD06,182-24,TRUE,FALSE,5,2024,HS 066,268064x3590555,RAPiD-Genomics_F534_UGA_173101_P017_WD06_i5-512_i7-138_S14971_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WD07,97-23,TRUE,FALSE,6,2023,HS 012,258412x3586648,RAPiD-Genomics_F534_UGA_173101_P017_WD07_i5-512_i7-139_S14972_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WD08,210-24,TRUE,FALSE,3,2024,HS 035,258142x3595544,RAPiD-Genomics_F534_UGA_173101_P017_WD08_i5-512_i7-140_S14973_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WD09,318-23,TRUE,FALSE,7,2023,HS 002,255814x3587061,RAPiD-Genomics_F534_UGA_173101_P017_WD09_i5-512_i7-141_S14974_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WD10,380-24,TRUE,FALSE,6,2024,HS 026,262853x3592521,RAPiD-Genomics_F534_UGA_173101_P017_WD10_i5-512_i7-142_S14975_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WD11,158-23,TRUE,FALSE,3,2023,HS 068,268186x3591620,RAPiD-Genomics_F534_UGA_173101_P017_WD11_i5-512_i7-143_S14976_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WD12,331-23,TRUE,TRUE,4,2023,HS 123,270896x3606897,RAPiD-Genomics_F534_UGA_173101_P017_WD12_i5-512_i7-144_S14977_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WE01,16-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WE01_i5-512_i7-145_S14978_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P017_WE02,310-24,TRUE,FALSE,1,2024,HS 028,258399x3594245,RAPiD-Genomics_F534_UGA_173101_P017_WE02_i5-512_i7-146_S14979_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WE03,5-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WE03_i5-512_i7-147_S14980_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P017_WE04,22-CGA-H,FALSE,FALSE,NA,2012,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WE04_i5-512_i7-148_S15081_L003_R1_001.fastq,,Hair Snare,CGA-H
UGA_173101_P017_WE05,441-23,TRUE,FALSE,5,2023,HS 065,269178x3589726,RAPiD-Genomics_F534_UGA_173101_P017_WE05_i5-512_i7-149_S15082_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WE06,225-23,TRUE,FALSE,4,2023,HS 132,270235x3611933,RAPiD-Genomics_F534_UGA_173101_P017_WE06_i5-512_i7-150_S14983_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WE07,10-24,TRUE,FALSE,7,2024,HS 032,263672x3593292,RAPiD-Genomics_F534_UGA_173101_P017_WE07_i5-512_i7-151_S14984_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WE08,78-24,TRUE,FALSE,1,2024,HS 050,259851x3599573,RAPiD-Genomics_F534_UGA_173101_P017_WE08_i5-512_i7-152_S14985_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WE09,18-23,TRUE,FALSE,7,2023,HS 002,255814x3587061,RAPiD-Genomics_F534_UGA_173101_P017_WE09_i5-512_i7-153_S14986_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WE10,162-23,TRUE,FALSE,4,2023,HS 042,259530x3597317,RAPiD-Genomics_F534_UGA_173101_P017_WE10_i5-512_i7-154_S14987_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WE11,102-24,TRUE,FALSE,5,2024,HS 030,260871x3593893,RAPiD-Genomics_F534_UGA_173101_P017_WE11_i5-512_i7-155_S14988_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WE12,1-CGA-H,FALSE,FALSE,NA,2012,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WE12_i5-512_i7-156_S14989_L003_R1_001.fastq,,Hair Snare,CGA-H
UGA_173101_P017_WF01,54-23,TRUE,FALSE,7,2023,HS 068,268186x3591620,RAPiD-Genomics_F534_UGA_173101_P017_WF01_i5-512_i7-157_S14990_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WF02,224-23,TRUE,FALSE,6,2023,HS 070,269359x3592627,RAPiD-Genomics_F534_UGA_173101_P017_WF02_i5-512_i7-158_S14991_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WF03,547-24,TRUE,FALSE,7,2024,HS 056,266161x3582880,RAPiD-Genomics_F534_UGA_173101_P017_WF03_i5-512_i7-159_S14992_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WF04,468-23,TRUE,FALSE,5,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P017_WF04_i5-512_i7-160_S14993_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WF05,51-24,TRUE,FALSE,6,2024,HS 033,262817x3594007,RAPiD-Genomics_F534_UGA_173101_P017_WF05_i5-512_i7-161_S14994_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WF06,30-23,TRUE,FALSE,6,2023,HS 012,258412x3586648,RAPiD-Genomics_F534_UGA_173101_P017_WF06_i5-512_i7-162_S14995_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WF07,133-23,TRUE,FALSE,5,2023,HS 065,269178x3589726,RAPiD-Genomics_F534_UGA_173101_P017_WF07_i5-512_i7-163_S14996_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WF08,409-23,TRUE,TRUE,5,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P017_WF08_i5-512_i7-164_S14997_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WF09,11-24,TRUE,FALSE,4,2024,HS 047,259836x3598339,RAPiD-Genomics_F534_UGA_173101_P017_WF09_i5-512_i7-165_S14998_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WF10,8-24,TRUE,FALSE,7,2024,HS 026,262853x3592521,RAPiD-Genomics_F534_UGA_173101_P017_WF10_i5-512_i7-166_S14999_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WF11,27-24,TRUE,FALSE,2,2024,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P017_WF11_i5-512_i7-167_S15000_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WF12,61-23,TRUE,FALSE,7,2023,HS 073,267763x3594039,RAPiD-Genomics_F534_UGA_173101_P017_WF12_i5-512_i7-168_S15001_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WG01,217-23,TRUE,FALSE,7,2023,HS 042,259530x3597317,RAPiD-Genomics_F534_UGA_173101_P017_WG01_i5-512_i7-169_S15002_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WG02,371-23,TRUE,FALSE,6,2023,HS 025,265276x3591787,RAPiD-Genomics_F534_UGA_173101_P017_WG02_i5-512_i7-170_S15003_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WG03,454-23,TRUE,FALSE,7,2023,HS 038,264323x3595743,RAPiD-Genomics_F534_UGA_173101_P017_WG03_i5-512_i7-171_S15004_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WG04,267-23,TRUE,FALSE,5,2023,HS 042,259530x3597317,RAPiD-Genomics_F534_UGA_173101_P017_WG04_i5-512_i7-172_S15005_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WG05,463-24,TRUE,FALSE,6,2024,HS 110,267503x3603769,RAPiD-Genomics_F534_UGA_173101_P017_WG05_i5-512_i7-173_S15006_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WG06,398-23,TRUE,FALSE,3,2023,HS 070,269359x3592627,RAPiD-Genomics_F534_UGA_173101_P017_WG06_i5-512_i7-174_S15007_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WG07,399-24,TRUE,FALSE,5,2024,HS 045,258191x3598537,RAPiD-Genomics_F534_UGA_173101_P017_WG07_i5-512_i7-175_S15008_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WG08,489-24,TRUE,FALSE,2,2024,HS 050,259851x3599573,RAPiD-Genomics_F534_UGA_173101_P017_WG08_i5-512_i7-176_S15009_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WG09,398-24,TRUE,FALSE,7,2024,HS 066,268064x3590555,RAPiD-Genomics_F534_UGA_173101_P017_WG09_i5-512_i7-177_S15010_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WG10,28-CGA-H,FALSE,FALSE,NA,2012,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WG10_i5-512_i7-178_S15011_L003_R1_001.fastq,,Hair Snare,CGA-H
UGA_173101_P017_WG11,457-23,TRUE,FALSE,6,2023,HS 066,268064x3590555,RAPiD-Genomics_F534_UGA_173101_P017_WG11_i5-512_i7-179_S15012_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WG12,492-23,TRUE,FALSE,3,2023,HS 005,252875x3588670,RAPiD-Genomics_F534_UGA_173101_P017_WG12_i5-512_i7-180_S15013_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WH01,95-23,TRUE,FALSE,7,2023,HS 068,268186x3591620,RAPiD-Genomics_F534_UGA_173101_P017_WH01_i5-512_i7-181_S15014_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WH02,476-24,TRUE,FALSE,1,2024,HS 041,258115x3597270,RAPiD-Genomics_F534_UGA_173101_P017_WH02_i5-512_i7-182_S15015_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WH03,200-24,TRUE,FALSE,5,2024,HS 031,261769x3593353,RAPiD-Genomics_F534_UGA_173101_P017_WH03_i5-512_i7-183_S15016_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WH04,9-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WH04_i5-512_i7-184_S15017_L003_R1_001.fastq,M,Capture,CGA
UGA_173101_P017_WH05,430-23,TRUE,FALSE,4,2023,HS 051,260705x3599596,RAPiD-Genomics_F534_UGA_173101_P017_WH05_i5-512_i7-185_S15018_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WH06,19-23,TRUE,FALSE,7,2023,HS 042,259530x3597317,RAPiD-Genomics_F534_UGA_173101_P017_WH06_i5-512_i7-186_S15019_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WH07,39-23,TRUE,FALSE,1,2023,HS 026,262853x3592521,RAPiD-Genomics_F534_UGA_173101_P017_WH07_i5-512_i7-187_S15020_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WH08,15-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WH08_i5-512_i7-188_S15021_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P017_WH09,409-23,TRUE,TRUE,5,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P017_WH09_i5-512_i7-189_S15022_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WH10,548-24,TRUE,FALSE,1,2024,HS 109,266420x3604161,RAPiD-Genomics_F534_UGA_173101_P017_WH10_i5-512_i7-190_S15023_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WH11,82-NGA,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WH11_i5-512_i7-191_S15024_L003_R1_001.fastq,M,Relocated,NGA
UGA_173101_P017_WH12,53-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WH12_i5-512_i7-192_S15025_L003_R1_001.fastq,M,Capture,CGA
UGA_173101_P018_WA01,412-24,TRUE,FALSE,6,2024,HS 044,264092x3597212,RAPiD-Genomics_F534_UGA_173101_P018_WA01_i5-537_i7-97_S15026_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WA02,14-C,FALSE,TRUE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P018_WA02_i5-537_i7-98_S15027_L003_R1_001.fastq,M,Capture,CGA
UGA_173101_P018_WA03,118-24,TRUE,FALSE,6,2024,HS 032,263672x3593292,RAPiD-Genomics_F534_UGA_173101_P018_WA03_i5-537_i7-99_S15028_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WA04,297-24,TRUE,FALSE,6,2024,HS 029,259736x3594236,RAPiD-Genomics_F534_UGA_173101_P018_WA04_i5-537_i7-100_S15029_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WA05,477-24,TRUE,FALSE,1,2024,HS 118,263132x3606186,RAPiD-Genomics_F534_UGA_173101_P018_WA05_i5-537_i7-101_S15030_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WA06,254-24,TRUE,FALSE,4,2024,HS 050,259851x3599573,RAPiD-Genomics_F534_UGA_173101_P018_WA06_i5-537_i7-102_S15031_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WA07,381-24,TRUE,FALSE,5,2024,HS 048,261267x3598930,RAPiD-Genomics_F534_UGA_173101_P018_WA07_i5-537_i7-103_S15032_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WA08,204-23,TRUE,FALSE,3,2023,HS 008,256165x3589588,RAPiD-Genomics_F534_UGA_173101_P018_WA08_i5-537_i7-104_S15033_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WA09,99-23,TRUE,FALSE,7,2023,HS 101,275317x3599324,RAPiD-Genomics_F534_UGA_173101_P018_WA09_i5-537_i7-105_S15034_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WA10,8-CGA-H,FALSE,FALSE,NA,2012,NA,NA,RAPiD-Genomics_F534_UGA_173101_P018_WA10_i5-537_i7-106_S15035_L003_R1_001.fastq,,Hair Snare,CGA-H
UGA_173101_P018_WA11,241-23,TRUE,TRUE,7,2023,HS 024,265557x3590544,RAPiD-Genomics_F534_UGA_173101_P018_WA11_i5-537_i7-107_S15036_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WA12,16-CGA-H,FALSE,FALSE,NA,2012,NA,NA,RAPiD-Genomics_F534_UGA_173101_P018_WA12_i5-537_i7-108_S15037_L003_R1_001.fastq,,Hair Snare,CGA-H
UGA_173101_P018_WB01,211-24,TRUE,FALSE,7,2024,HS 032,263672x3593292,RAPiD-Genomics_F534_UGA_173101_P018_WB01_i5-537_i7-109_S15038_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WB02,137-23,TRUE,FALSE,4,2023,HS 042,259530x3597317,RAPiD-Genomics_F534_UGA_173101_P018_WB02_i5-537_i7-110_S15039_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WB03,388-23,TRUE,FALSE,7,2023,HS 012,258412x3586648,RAPiD-Genomics_F534_UGA_173101_P018_WB03_i5-537_i7-111_S15040_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WB04,186-24,TRUE,FALSE,3,2024,HS 011,257416x3586308,RAPiD-Genomics_F534_UGA_173101_P018_WB04_i5-537_i7-112_S15041_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WB05,390-24,TRUE,FALSE,1,2024,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P018_WB05_i5-537_i7-113_S15042_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WB06,490-23,TRUE,FALSE,3,2023,HS 012,258412x3586648,RAPiD-Genomics_F534_UGA_173101_P018_WB06_i5-537_i7-114_S15043_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WB07,47-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P018_WB07_i5-537_i7-115_S15044_L003_R1_001.fastq,M,Capture,CGA
UGA_173101_P018_WB08,68-23,TRUE,FALSE,4,2023,HS 047,259836x3598339,RAPiD-Genomics_F534_UGA_173101_P018_WB08_i5-537_i7-116_S15045_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WB09,384-23,TRUE,FALSE,4,2023,HS 021,264713x3588839,RAPiD-Genomics_F534_UGA_173101_P018_WB09_i5-537_i7-117_S15046_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WB10,603-23,TRUE,FALSE,5,2023,HS 101,275317x3599324,RAPiD-Genomics_F534_UGA_173101_P018_WB10_i5-537_i7-118_S15047_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WB11,66-NGA,FALSE,FALSE,NA,2022,NA,NA,RAPiD-Genomics_F534_UGA_173101_P018_WB11_i5-537_i7-119_S15048_L003_R1_001.fastq,M,Capture,NGA
UGA_173101_P018_WB12,56-24,TRUE,FALSE,7,2024,HS 028,258399x3594245,RAPiD-Genomics_F534_UGA_173101_P018_WB12_i5-537_i7-120_S15049_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WC01,474-24,TRUE,FALSE,7,2024,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P018_WC01_i5-537_i7-121_S15050_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WC02,435-24,TRUE,FALSE,5,2024,HS 120,264935x3606388,RAPiD-Genomics_F534_UGA_173101_P018_WC02_i5-537_i7-122_S15051_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WC03,4-CGA-H,FALSE,FALSE,NA,2012,NA,NA,RAPiD-Genomics_F534_UGA_173101_P018_WC03_i5-537_i7-123_S15052_L003_R1_001.fastq,,Hair Snare,CGA-H
UGA_173101_P018_WC04,84-NGA,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P018_WC04_i5-537_i7-124_S15053_L003_R1_001.fastq,M,Capture,NGA
UGA_173101_P018_WC05,237-23,TRUE,FALSE,5,2023,HS 066,268064x3590555,RAPiD-Genomics_F534_UGA_173101_P018_WC05_i5-537_i7-125_S15054_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WC06,215-23,TRUE,FALSE,3,2023,HS 007,255057x3589730,RAPiD-Genomics_F534_UGA_173101_P018_WC06_i5-537_i7-126_S15055_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WC07,166-24,TRUE,TRUE,2,2024,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P018_WC07_i5-537_i7-127_S15056_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WC08,159-23,TRUE,FALSE,3,2023,HS 101,275317x3599324,RAPiD-Genomics_F534_UGA_173101_P018_WC08_i5-537_i7-128_S15057_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WC09,90-24,TRUE,FALSE,1,2024,HS 043,261231x3597373,RAPiD-Genomics_F534_UGA_173101_P018_WC09_i5-537_i7-129_S15058_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WC10,64-24,TRUE,FALSE,7,2024,HS 066,268064x3590555,RAPiD-Genomics_F534_UGA_173101_P018_WC10_i5-537_i7-130_S15059_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WC11,358-24,TRUE,TRUE,3,2024,HS 017,260417x3588089,RAPiD-Genomics_F534_UGA_173101_P018_WC11_i5-537_i7-131_S15060_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WC12,191-23,TRUE,FALSE,6,2023,HS 025,265276x3591787,RAPiD-Genomics_F534_UGA_173101_P018_WC12_i5-537_i7-132_S15061_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WD01,198-23,TRUE,FALSE,6,2023,HS 089,271012x3598856,RAPiD-Genomics_F534_UGA_173101_P018_WD01_i5-537_i7-133_S15062_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WD02,420-24,TRUE,FALSE,7,2024,HS 042,259530x3597317,RAPiD-Genomics_F534_UGA_173101_P018_WD02_i5-537_i7-134_S15063_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WD03,62-24,TRUE,FALSE,1,2024,HS 076,270936x3595484,RAPiD-Genomics_F534_UGA_173101_P018_WD03_i5-537_i7-135_S15064_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WD04,239-23,TRUE,FALSE,3,2023,HS 101,275317x3599324,RAPiD-Genomics_F534_UGA_173101_P018_WD04_i5-537_i7-136_S15065_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WD05,280-23,TRUE,TRUE,4,2023,HS 127,264695x3609913,RAPiD-Genomics_F534_UGA_173101_P018_WD05_i5-537_i7-137_S15066_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WD06,405-23,TRUE,FALSE,3,2023,HS 089,271012x3598856,RAPiD-Genomics_F534_UGA_173101_P018_WD06_i5-537_i7-138_S15067_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WD07,296-24,TRUE,FALSE,6,2024,HS 142,270560x3610662,RAPiD-Genomics_F534_UGA_173101_P018_WD07_i5-537_i7-139_S15068_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WD08,472-23,TRUE,FALSE,5,2023,HS 056,266161x3582880,RAPiD-Genomics_F534_UGA_173101_P018_WD08_i5-537_i7-140_S15069_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WD09,81-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P018_WD09_i5-537_i7-141_S15070_L003_R1_001.fastq,M,Den Check,NGA
UGA_173101_P018_WD10,334-23,TRUE,FALSE,6,2023,HS 012,258412x3586648,RAPiD-Genomics_F534_UGA_173101_P018_WD10_i5-537_i7-142_S15071_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WD11,378-24,TRUE,FALSE,1,2024,HS 080,271058x3589778,RAPiD-Genomics_F534_UGA_173101_P018_WD11_i5-537_i7-143_S15072_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WD12,49-24,TRUE,FALSE,7,2024,HS 037,261345x3595677,RAPiD-Genomics_F534_UGA_173101_P018_WD12_i5-537_i7-144_S15073_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WE01,103-23,TRUE,FALSE,6,2023,HS 068,268186x3591620,RAPiD-Genomics_F534_UGA_173101_P018_WE01_i5-537_i7-145_S15074_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WE02,52-23,TRUE,FALSE,4,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P018_WE02_i5-537_i7-146_S15075_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WE03,465-23,TRUE,FALSE,6,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P018_WE03_i5-537_i7-147_S15076_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WE04,42-SGA,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P018_WE04_i5-537_i7-148_S15077_L003_R1_001.fastq,F,Harvest,SGA
UGA_173101_P018_WE05,241-23,TRUE,TRUE,7,2023,HS 024,265557x3590544,RAPiD-Genomics_F534_UGA_173101_P018_WE05_i5-537_i7-149_S15078_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WE06,127-24,TRUE,FALSE,6,2024,HS 026,262853x3592521,RAPiD-Genomics_F534_UGA_173101_P018_WE06_i5-537_i7-150_S15079_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WE07,486-24,TRUE,FALSE,6,2024,HS 045,258191x3598537,RAPiD-Genomics_F534_UGA_173101_P018_WE07_i5-537_i7-151_S15080_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WE08,422-24,TRUE,FALSE,6,2024,HS 044,264092x3597212,RAPiD-Genomics_F534_UGA_173101_P018_WE08_i5-537_i7-152_S15083_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WE09,206-23,TRUE,FALSE,5,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P018_WE09_i5-537_i7-153_S15084_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P018_WE10,175-23,TRUE,FALSE,6,2023,HS 065,269178x3589726,RAPiD-Genomics_F534_UGA_173101_P018_WE10_i5-537_i7-154_S15085_L003_R1_001.fastq,,Hair Snare,CGA
