extID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region,nSNPgt,vcfID,FILT
UGA_173101_P023_WD12,197-23,TRUE,FALSE,6,2023,HS 066,268064x3590555,RAPiD-Genomics_F566_UGA_173101_P023_WD12_i5-1099_i7-9_S7726_L003_R1_001.fastq,,Hair Snare,CGA,649,UGA_173101_P023_WD12,FALSE
UGA_173101_P023_WE01,257-23,TRUE,FALSE,6,2023,HS 030,260871x3593893,RAPiD-Genomics_F566_UGA_173101_P023_WE01_i5-1099_i7-48_S7727_L003_R1_001.fastq,,Hair Snare,CGA,874,UGA_173101_P023_WE01,FALSE
UGA_173101_P023_WE02,76-24,TRUE,FALSE,7,2024,HS 065,269178x3589726,RAPiD-Genomics_F566_UGA_173101_P023_WE02_i5-1099_i7-89_S7728_L003_R1_001.fastq,,Hair Snare,CGA,1212,UGA_173101_P023_WE02,FALSE
UGA_173101_P023_WE03,184-24,TRUE,FALSE,3,2024,HS 061,265195x3585407,RAPiD-Genomics_F566_UGA_173101_P023_WE03_i5-1099_i7-87_S7729_L003_R1_001.fastq,,Hair Snare,CGA,1212,UGA_173101_P023_WE03,FALSE
UGA_173101_P023_WE04,407-24,TRUE,FALSE,4,2024,HS 047,259836x3598339,RAPiD-Genomics_F566_UGA_173101_P023_WE04_i5-1099_i7-21_S7730_L003_R1_001.fastq,,Hair Snare,CGA,646,UGA_173101_P023_WE04,FALSE
UGA_173101_P023_WE05,226-23,TRUE,FALSE,4,2023,HS 127,264695x3609913,RAPiD-Genomics_F566_UGA_173101_P023_WE05_i5-1099_i7-94_S7731_L003_R1_001.fastq,,Hair Snare,CGA,1237,UGA_173101_P023_WE05,FALSE
UGA_173101_P023_WE06,350-24,TRUE,FALSE,3,2024,HS 017,260417x3588089,RAPiD-Genomics_F566_UGA_173101_P023_WE06_i5-1099_i7-35_S7732_L003_R1_001.fastq,,Hair Snare,CGA,0,UGA_173101_P023_WE06,TRUE
UGA_173101_P023_WE07,499-24,TRUE,FALSE,2,2024,HS 024,265598x3590529,RAPiD-Genomics_F566_UGA_173101_P023_WE07_i5-1099_i7-44_S7733_L003_R1_001.fastq,,Hair Snare,CGA,24,UGA_173101_P023_WE07,TRUE
UGA_173101_P023_WE08,211-23,TRUE,FALSE,3,2023,HS 070,269359x3592627,RAPiD-Genomics_F566_UGA_173101_P023_WE08_i5-1099_i7-4_S7734_L003_R1_001.fastq,,Hair Snare,CGA,1151,UGA_173101_P023_WE08,FALSE
UGA_173101_P023_WE09,66-24,TRUE,FALSE,3,2024,HS 030,260871x3593893,RAPiD-Genomics_F566_UGA_173101_P023_WE09_i5-1099_i7-24_S7735_L003_R1_001.fastq,,Hair Snare,CGA,1079,UGA_173101_P023_WE09,FALSE
UGA_173101_P023_WE10,215-24,TRUE,FALSE,6,2024,HS 045,258191x3598537,RAPiD-Genomics_F566_UGA_173101_P023_WE10_i5-1099_i7-61_S7736_L003_R1_001.fastq,,Hair Snare,CGA,1225,UGA_173101_P023_WE10,FALSE
UGA_173101_P023_WE11,146-24,TRUE,FALSE,5,2024,HS 120,264935x3606388,RAPiD-Genomics_F566_UGA_173101_P023_WE11_i5-1099_i7-13_S7737_L003_R1_001.fastq,,Hair Snare,CGA,0,UGA_173101_P023_WE11,TRUE
UGA_173101_P023_WE12,377-24,TRUE,FALSE,4,2024,HS 053,266356x3581189,RAPiD-Genomics_F566_UGA_173101_P023_WE12_i5-1099_i7-76_S7738_L003_R1_001.fastq,,Hair Snare,CGA,698,UGA_173101_P023_WE12,FALSE
UGA_173101_P023_WF01,62-23,TRUE,FALSE,3,2023,HS 068,268186x3591620,RAPiD-Genomics_F566_UGA_173101_P023_WF01_i5-1099_i7-28_S7739_L003_R1_001.fastq,,Hair Snare,CGA,1206,UGA_173101_P023_WF01,FALSE
UGA_173101_P023_WF02,284-23,TRUE,FALSE,1,2023,HS 030,260871x3593893,RAPiD-Genomics_F566_UGA_173101_P023_WF02_i5-1099_i7-78_S7740_L003_R1_001.fastq,,Hair Snare,CGA,1256,UGA_173101_P023_WF02,FALSE
